Depth,Damage,Type,,,,,,,,,,
1.58,1.00,1,,,,,,,,,,
1.59,1.00,1,,,,,,,,,,
1.60,1.00,1,,,,,,,,,,
1.61,1.00,1,,,,,,,,,,
1.62,1.00,1,,,,,,,,,,
1.63,1.00,1,,,,,,,,,,
1.64,1.00,1,,,,,,,,,,
1.65,1.00,1,,,,,,,,,,
1.66,1.00,1,,,,,,,,,,
1.67,1.00,1,,,,,,,,,,
1.68,1.00,1,,,,,,,,,,
1.69,1.00,1,,,,,,,,,,
1.70,1.00,1,,,,,,,,,,
1.71,1.00,1,,,,,,,,,,
1.72,1.00,1,,,,,,,,,,
1.73,1.00,1,,,,,,,,,,
1.74,1.00,1,,,,,,,,,,
1.75,1.00,1,,,,,,,,,,
1.76,1.00,1,,,,,,,,,,
1.77,1.00,1,,,,,,,,,,
1.78,1.00,1,,,,,,,,,,
1.79,1.00,1,,,,,,,,,,
1.80,1.00,1,,,,,,,,,,
1.81,1.00,1,,,,,,,,,,
1.82,1.00,1,,,,,,,,,,
1.83,1.00,1,,,,,,,,,,
1.84,1.00,1,,,,,,,,,,
1.85,1.00,1,,,,,,,,,,
1.86,1.00,1,,,,,,,,,,
1.87,1.00,1,,,,,,,,,,
1.88,1.00,1,,,,,,,,,,
1.89,1.00,1,,,,,,,,,,
1.90,1.00,1,,,,,,,,,,
1.91,1.00,1,,,,,,,,,,
1.92,1.00,1,,,,,,,,,,
1.93,1.00,1,,,,,,,,,,
1.94,1.00,1,,,,,,,,,,
1.95,1.00,1,,,,,,,,,,
1.96,1.00,1,,,,,,,,,,
1.97,1.00,1,,,,,,,,,,
1.98,1.00,1,,,,,,,,,,
1.99,1.00,1,,,,,,,,,,
2.00,1.00,1,,,,,,,,,,
2.01,1.00,1,,,,,,,,,,
2.02,1.00,1,,,,,,,,,,
2.03,1.00,1,,,,,,,,,,
2.04,1.00,1,,,,,,,,,,
2.05,1.00,1,,,,,,,,,,
2.06,1.00,1,,,,,,,,,,
2.07,1.00,1,,,,,,,,,,
2.08,1.00,1,,,,,,,,,,
2.09,1.00,1,,,,,,,,,,
2.10,1.00,1,,,,,,,,,,
2.11,1.00,1,,,,,,,,,,
2.12,1.00,1,,,,,,,,,,
2.13,1.00,1,,,,,,,,,,
2.14,1.00,1,,,,,,,,,,
2.15,1.00,1,,,,,,,,,,
2.16,1.00,1,,,,,,,,,,
2.17,1.00,1,,,,,,,,,,
2.18,1.00,1,,,,,,,,,,
2.19,1.00,1,,,,,,,,,,
2.20,1.00,1,,,,,,,,,,
2.21,1.00,1,,,,,,,,,,
2.22,1.00,1,,,,,,,,,,
2.23,1.00,1,,,,,,,,,,
2.24,1.00,1,,,,,,,,,,
2.25,1.00,1,,,,,,,,,,
2.26,1.00,1,,,,,,,,,,
2.27,1.00,1,,,,,,,,,,
2.28,1.00,1,,,,,,,,,,
2.29,1.00,1,,,,,,,,,,
2.30,1.00,1,,,,,,,,,,
2.31,1.00,1,,,,,,,,,,
2.32,1.00,1,,,,,,,,,,
2.33,1.00,1,,,,,,,,,,
2.34,1.00,1,,,,,,,,,,
2.35,1.00,1,,,,,,,,,,
2.36,1.00,1,,,,,,,,,,
2.37,1.00,1,,,,,,,,,,
2.38,1.00,1,,,,,,,,,,
2.39,1.00,1,,,,,,,,,,
2.40,1.00,1,,,,,,,,,,
2.41,1.00,1,,,,,,,,,,
2.42,1.00,1,,,,,,,,,,
2.43,1.00,1,,,,,,,,,,
2.44,1.00,1,,,,,,,,,,
2.45,1.00,1,,,,,,,,,,
2.46,1.00,1,,,,,,,,,,
2.47,1.00,1,,,,,,,,,,
2.48,1.00,1,,,,,,,,,,
2.49,1.00,1,,,,,,,,,,
2.50,1.00,1,,,,,,,,,,
2.51,1.00,1,,,,,,,,,,
2.52,1.00,1,,,,,,,,,,
2.53,1.00,1,,,,,,,,,,
2.54,1.00,1,,,,,,,,,,
2.55,1.00,1,,,,,,,,,,
2.56,1.00,1,,,,,,,,,,
2.57,1.00,1,,,,,,,,,,
2.58,1.00,1,,,,,,,,,,
2.59,1.00,1,,,,,,,,,,
2.60,1.00,1,,,,,,,,,,
2.61,1.00,1,,,,,,,,,,
2.62,1.00,1,,,,,,,,,,
2.63,1.00,1,,,,,,,,,,
2.64,1.00,1,,,,,,,,,,
2.65,1.00,1,,,,,,,,,,
2.66,1.00,1,,,,,,,,,,
2.67,1.00,1,,,,,,,,,,
2.68,1.00,1,,,,,,,,,,
2.69,1.00,1,,,,,,,,,,
2.70,1.00,1,,,,,,,,,,
2.71,1.00,1,,,,,,,,,,
2.72,1.00,1,,,,,,,,,,
2.73,1.00,1,,,,,,,,,,
2.74,1.00,1,,,,,,,,,,
2.75,1.00,1,,,,,,,,,,
2.76,1.00,1,,,,,,,,,,
2.77,1.00,1,,,,,,,,,,
2.78,1.00,1,,,,,,,,,,
2.79,1.00,1,,,,,,,,,,
2.80,1.00,1,,,,,,,,,,
2.81,1.00,1,,,,,,,,,,
2.82,1.00,1,,,,,,,,,,
2.83,1.00,1,,,,,,,,,,
2.84,1.00,1,,,,,,,,,,
2.85,1.00,1,,,,,,,,,,
2.86,1.00,1,,,,,,,,,,
2.87,1.00,1,,,,,,,,,,
2.88,1.00,1,,,,,,,,,,
2.89,1.00,1,,,,,,,,,,
2.90,1.00,1,,,,,,,,,,
2.91,1.00,1,,,,,,,,,,
2.92,1.00,1,,,,,,,,,,
2.93,1.00,1,,,,,,,,,,
2.94,1.00,1,,,,,,,,,,
2.95,1.00,1,,,,,,,,,,
2.96,1.00,1,,,,,,,,,,
2.97,1.00,1,,,,,,,,,,
2.98,1.00,1,,,,,,,,,,
2.99,1.00,1,,,,,,,,,,
3.00,1.00,1,,,,,,,,,,
3.01,1.00,1,,,,,,,,,,
3.02,1.00,1,,,,,,,,,,
3.03,1.00,1,,,,,,,,,,
3.04,1.00,1,,,,,,,,,,
3.05,1.00,1,,,,,,,,,,
3.06,1.00,1,,,,,,,,,,
3.07,1.00,1,,,,,,,,,,
3.08,1.00,1,,,,,,,,,,
3.09,1.00,1,,,,,,,,,,
3.10,1.00,1,,,,,,,,,,
3.11,1.00,1,,,,,,,,,,
3.12,1.00,1,,,,,,,,,,
3.13,1.00,1,,,,,,,,,,
3.14,1.00,1,,,,,,,,,,
3.15,1.00,1,,,,,,,,,,
3.16,1.00,1,,,,,,,,,,
3.17,1.00,1,,,,,,,,,,
3.18,1.00,1,,,,,,,,,,
3.19,1.00,1,,,,,,,,,,
3.20,1.00,1,,,,,,,,,,
3.21,1.00,1,,,,,,,,,,
3.22,1.00,1,,,,,,,,,,
3.23,1.00,1,,,,,,,,,,
3.24,1.00,1,,,,,,,,,,
3.25,1.00,1,,,,,,,,,,
3.26,1.00,1,,,,,,,,,,
3.27,1.00,1,,,,,,,,,,
3.28,1.00,1,,,,,,,,,,
3.29,1.00,1,,,,,,,,,,
3.30,1.00,1,,,,,,,,,,
3.31,1.00,1,,,,,,,,,,
3.32,1.00,1,,,,,,,,,,
3.33,1.00,1,,,,,,,,,,
3.34,1.00,1,,,,,,,,,,
3.35,1.00,1,,,,,,,,,,
3.36,1.00,1,,,,,,,,,,
3.37,1.00,1,,,,,,,,,,
3.38,1.00,1,,,,,,,,,,
3.39,1.00,1,,,,,,,,,,
3.40,1.00,1,,,,,,,,,,
3.41,1.00,1,,,,,,,,,,
3.42,1.00,1,,,,,,,,,,
3.43,1.00,1,,,,,,,,,,
3.44,1.00,1,,,,,,,,,,
3.45,1.00,1,,,,,,,,,,
3.46,1.00,1,,,,,,,,,,
3.47,1.00,1,,,,,,,,,,
3.48,1.00,1,,,,,,,,,,
3.49,1.00,1,,,,,,,,,,
3.50,1.00,1,,,,,,,,,,
3.51,1.00,1,,,,,,,,,,
3.52,1.00,1,,,,,,,,,,
3.53,1.00,1,,,,,,,,,,
3.54,1.00,1,,,,,,,,,,
3.55,1.00,1,,,,,,,,,,
3.56,1.00,1,,,,,,,,,,
3.57,1.00,1,,,,,,,,,,
3.58,1.00,1,,,,,,,,,,
3.59,1.00,1,,,,,,,,,,
3.60,1.00,1,,,,,,,,,,
3.61,1.00,1,,,,,,,,,,
3.62,1.00,1,,,,,,,,,,
3.63,1.00,1,,,,,,,,,,
3.64,1.00,1,,,,,,,,,,
3.65,1.00,1,,,,,,,,,,
3.66,1.00,1,,,,,,,,,,
3.67,1.00,1,,,,,,,,,,
3.68,1.00,1,,,,,,,,,,
3.69,1.00,1,,,,,,,,,,
3.70,1.00,1,,,,,,,,,,
3.71,1.00,1,,,,,,,,,,
3.72,1.00,1,,,,,,,,,,
3.73,1.00,1,,,,,,,,,,
3.74,1.00,1,,,,,,,,,,
3.75,1.00,1,,,,,,,,,,
3.76,1.00,1,,,,,,,,,,
3.77,1.00,1,,,,,,,,,,
3.78,1.00,1,,,,,,,,,,
3.79,1.00,1,,,,,,,,,,
3.80,1.00,1,,,,,,,,,,
3.81,1.00,1,,,,,,,,,,
3.82,1.00,1,,,,,,,,,,
3.83,1.00,1,,,,,,,,,,
3.84,1.00,1,,,,,,,,,,
3.85,1.00,1,,,,,,,,,,
3.86,1.00,1,,,,,,,,,,
3.87,1.00,1,,,,,,,,,,
3.88,1.00,1,,,,,,,,,,
3.89,1.00,1,,,,,,,,,,
3.90,1.00,1,,,,,,,,,,
3.91,1.00,1,,,,,,,,,,
3.92,1.00,1,,,,,,,,,,
3.93,1.00,1,,,,,,,,,,
3.94,1.00,1,,,,,,,,,,
3.95,1.00,1,,,,,,,,,,
3.96,1.00,1,,,,,,,,,,
3.97,1.00,1,,,,,,,,,,
3.98,1.00,1,,,,,,,,,,
3.99,1.00,1,,,,,,,,,,
4.00,1.00,1,,,,,,,,,,
4.01,1.00,1,,,,,,,,,,
4.02,1.00,1,,,,,,,,,,
4.03,1.00,1,,,,,,,,,,
4.04,1.00,1,,,,,,,,,,
4.05,1.00,1,,,,,,,,,,
4.06,1.00,1,,,,,,,,,,
4.07,1.00,1,,,,,,,,,,
4.08,1.00,1,,,,,,,,,,
4.09,1.00,1,,,,,,,,,,
4.10,1.00,1,,,,,,,,,,
4.11,1.00,1,,,,,,,,,,
4.12,1.00,1,,,,,,,,,,
4.13,1.00,1,,,,,,,,,,
4.14,1.00,1,,,,,,,,,,
4.15,1.00,1,,,,,,,,,,
4.16,1.00,1,,,,,,,,,,
4.17,1.00,1,,,,,,,,,,
4.18,1.00,1,,,,,,,,,,
4.19,1.00,1,,,,,,,,,,
4.20,1.00,1,,,,,,,,,,
4.21,1.00,1,,,,,,,,,,
4.22,1.00,1,,,,,,,,,,
4.23,1.00,1,,,,,,,,,,
4.24,1.00,1,,,,,,,,,,
4.25,1.00,1,,,,,,,,,,
4.26,1.00,1,,,,,,,,,,
4.27,1.00,1,,,,,,,,,,
4.28,1.00,1,,,,,,,,,,
4.29,1.00,1,,,,,,,,,,
4.30,1.00,1,,,,,,,,,,
4.31,1.00,1,,,,,,,,,,
4.32,1.00,1,,,,,,,,,,
4.33,1.00,1,,,,,,,,,,
4.34,1.00,1,,,,,,,,,,
4.35,1.00,1,,,,,,,,,,
4.36,1.00,1,,,,,,,,,,
4.37,1.00,1,,,,,,,,,,
4.38,1.00,1,,,,,,,,,,
4.39,1.00,1,,,,,,,,,,
4.40,1.00,1,,,,,,,,,,
4.41,1.00,1,,,,,,,,,,
4.42,1.00,1,,,,,,,,,,
4.43,1.00,1,,,,,,,,,,
4.44,1.00,1,,,,,,,,,,
4.45,1.00,1,,,,,,,,,,
4.46,1.00,1,,,,,,,,,,
4.47,1.00,1,,,,,,,,,,
4.48,1.00,1,,,,,,,,,,
4.49,1.00,1,,,,,,,,,,
4.50,1.00,1,,,,,,,,,,
4.51,1.00,1,,,,,,,,,,
4.52,1.00,1,,,,,,,,,,
4.53,1.00,1,,,,,,,,,,
4.54,1.00,1,,,,,,,,,,
4.55,1.00,1,,,,,,,,,,
4.56,1.00,1,,,,,,,,,,
4.57,1.00,1,,,,,,,,,,
4.58,1.00,1,,,,,,,,,,
4.59,1.00,1,,,,,,,,,,
4.60,1.00,1,,,,,,,,,,
4.61,1.00,1,,,,,,,,,,
4.62,1.00,1,,,,,,,,,,
4.63,1.00,1,,,,,,,,,,
4.64,1.00,1,,,,,,,,,,
4.65,1.00,1,,,,,,,,,,
4.66,1.00,1,,,,,,,,,,
4.67,1.00,1,,,,,,,,,,
4.68,1.00,1,,,,,,,,,,
4.69,1.00,1,,,,,,,,,,
4.70,1.00,1,,,,,,,,,,
4.71,1.00,1,,,,,,,,,,
4.72,1.00,1,,,,,,,,,,
4.73,1.00,1,,,,,,,,,,
4.74,1.00,1,,,,,,,,,,
4.75,1.00,1,,,,,,,,,,
4.76,1.00,1,,,,,,,,,,
4.77,1.00,1,,,,,,,,,,
4.78,1.00,1,,,,,,,,,,
4.79,1.00,1,,,,,,,,,,
4.80,1.00,1,,,,,,,,,,
4.81,1.00,1,,,,,,,,,,
4.82,1.00,1,,,,,,,,,,
4.83,1.00,1,,,,,,,,,,
4.84,1.00,1,,,,,,,,,,
4.85,1.00,1,,,,,,,,,,
4.86,1.00,1,,,,,,,,,,
4.87,1.00,1,,,,,,,,,,
4.88,1.00,1,,,,,,,,,,
4.89,1.00,1,,,,,,,,,,
4.90,1.00,1,,,,,,,,,,
4.91,1.00,1,,,,,,,,,,
4.92,1.00,1,,,,,,,,,,
4.93,1.00,1,,,,,,,,,,
4.94,1.00,1,,,,,,,,,,
4.95,1.00,1,,,,,,,,,,
4.96,1.00,1,,,,,,,,,,
4.97,1.00,1,,,,,,,,,,
4.98,1.00,1,,,,,,,,,,
4.99,1.00,1,,,,,,,,,,
5.00,1.00,1,,,,,,,,,,
5.01,1.00,1,,,,,,,,,,
5.02,1.00,1,,,,,,,,,,
5.03,1.00,1,,,,,,,,,,
5.04,1.00,1,,,,,,,,,,
5.05,1.00,1,,,,,,,,,,
5.06,1.00,1,,,,,,,,,,
5.07,1.00,1,,,,,,,,,,
5.08,1.00,1,,,,,,,,,,
5.09,1.00,1,,,,,,,,,,
5.10,1.00,1,,,,,,,,,,
5.11,1.00,1,,,,,,,,,,
5.12,1.00,1,,,,,,,,,,
5.13,1.00,1,,,,,,,,,,
5.14,1.00,1,,,,,,,,,,
5.15,1.00,1,,,,,,,,,,
5.16,1.00,1,,,,,,,,,,
5.17,1.00,1,,,,,,,,,,
5.18,1.00,1,,,,,,,,,,
5.19,1.00,1,,,,,,,,,,
5.20,1.00,1,,,,,,,,,,
5.21,1.00,1,,,,,,,,,,
5.22,1.00,1,,,,,,,,,,
5.23,1.00,1,,,,,,,,,,
5.24,1.00,1,,,,,,,,,,
5.25,1.00,1,,,,,,,,,,
5.26,1.00,1,,,,,,,,,,
5.27,1.00,1,,,,,,,,,,
5.28,1.00,1,,,,,,,,,,
5.29,1.00,1,,,,,,,,,,
5.30,1.00,1,,,,,,,,,,
5.31,1.00,1,,,,,,,,,,
5.32,1.00,1,,,,,,,,,,
5.33,1.00,1,,,,,,,,,,
5.34,1.00,1,,,,,,,,,,
5.35,1.00,1,,,,,,,,,,
5.36,1.00,1,,,,,,,,,,
5.37,1.00,1,,,,,,,,,,
5.38,1.00,1,,,,,,,,,,
5.39,1.00,1,,,,,,,,,,
5.40,1.00,1,,,,,,,,,,
5.41,1.00,1,,,,,,,,,,
5.42,1.00,1,,,,,,,,,,
5.43,1.00,1,,,,,,,,,,
5.44,1.00,1,,,,,,,,,,
5.45,1.00,1,,,,,,,,,,
5.46,1.00,1,,,,,,,,,,
5.47,1.00,1,,,,,,,,,,
5.48,1.00,1,,,,,,,,,,
5.49,1.00,1,,,,,,,,,,
5.50,1.00,1,,,,,,,,,,
5.51,1.00,1,,,,,,,,,,
5.52,1.00,1,,,,,,,,,,
5.53,1.00,1,,,,,,,,,,
5.54,1.00,1,,,,,,,,,,
5.55,1.00,1,,,,,,,,,,
5.56,1.00,1,,,,,,,,,,
5.57,1.00,1,,,,,,,,,,
5.58,1.00,1,,,,,,,,,,
5.59,1.00,1,,,,,,,,,,
5.60,1.00,1,,,,,,,,,,
5.61,1.00,1,,,,,,,,,,
5.62,1.00,1,,,,,,,,,,
5.63,1.00,1,,,,,,,,,,
5.64,1.00,1,,,,,,,,,,
5.65,1.00,1,,,,,,,,,,
5.66,1.00,1,,,,,,,,,,
5.67,1.00,1,,,,,,,,,,
5.68,1.00,1,,,,,,,,,,
5.69,1.00,1,,,,,,,,,,
5.70,1.00,1,,,,,,,,,,
5.71,1.00,1,,,,,,,,,,
5.72,1.00,1,,,,,,,,,,
5.73,1.00,1,,,,,,,,,,
5.74,1.00,1,,,,,,,,,,
5.75,1.00,1,,,,,,,,,,
5.76,1.00,1,,,,,,,,,,
5.77,1.00,1,,,,,,,,,,
5.78,1.00,1,,,,,,,,,,
5.79,1.00,1,,,,,,,,,,
5.80,1.00,1,,,,,,,,,,
5.81,1.00,1,,,,,,,,,,
5.82,1.00,1,,,,,,,,,,
5.83,1.00,1,,,,,,,,,,
5.84,1.00,1,,,,,,,,,,
5.85,1.00,1,,,,,,,,,,
5.86,1.00,1,,,,,,,,,,
5.87,1.00,1,,,,,,,,,,
5.88,1.00,1,,,,,,,,,,
5.89,1.00,1,,,,,,,,,,
5.90,1.00,1,,,,,,,,,,
5.91,1.00,1,,,,,,,,,,
5.92,1.00,1,,,,,,,,,,
5.93,1.00,1,,,,,,,,,,
5.94,1.00,1,,,,,,,,,,
5.95,1.00,1,,,,,,,,,,
5.96,1.00,1,,,,,,,,,,
5.97,1.00,1,,,,,,,,,,
5.98,1.00,1,,,,,,,,,,
5.99,1.00,1,,,,,,,,,,
6.00,1.00,1,,,,,,,,,,
6.01,1.00,1,,,,,,,,,,
6.02,1.00,1,,,,,,,,,,
6.03,1.00,1,,,,,,,,,,
6.04,1.00,1,,,,,,,,,,
6.05,1.00,1,,,,,,,,,,
6.06,1.00,1,,,,,,,,,,
6.07,1.00,1,,,,,,,,,,
6.08,1.00,1,,,,,,,,,,
6.09,1.00,1,,,,,,,,,,
6.10,1.00,1,,,,,,,,,,
6.11,1.00,1,,,,,,,,,,
6.12,1.00,1,,,,,,,,,,
6.13,1.00,1,,,,,,,,,,
6.14,1.00,1,,,,,,,,,,
6.15,1.00,1,,,,,,,,,,
6.16,1.00,1,,,,,,,,,,
6.17,1.00,1,,,,,,,,,,
6.18,1.00,1,,,,,,,,,,
6.19,1.00,1,,,,,,,,,,
6.20,1.00,1,,,,,,,,,,
6.21,1.00,1,,,,,,,,,,
6.22,1.00,1,,,,,,,,,,
6.23,1.00,1,,,,,,,,,,
6.24,1.00,1,,,,,,,,,,
6.25,1.00,1,,,,,,,,,,
6.26,1.00,1,,,,,,,,,,
6.27,1.00,1,,,,,,,,,,
6.28,1.00,1,,,,,,,,,,
6.29,1.00,1,,,,,,,,,,
6.30,1.00,1,,,,,,,,,,
6.31,1.00,1,,,,,,,,,,
6.32,1.00,1,,,,,,,,,,
6.33,1.00,1,,,,,,,,,,
6.34,1.00,1,,,,,,,,,,
6.35,1.00,1,,,,,,,,,,
6.36,1.00,1,,,,,,,,,,
6.37,1.00,1,,,,,,,,,,
6.38,1.00,1,,,,,,,,,,
6.39,1.00,1,,,,,,,,,,
6.40,1.00,1,,,,,,,,,,
6.41,1.00,1,,,,,,,,,,
6.42,1.00,1,,,,,,,,,,
6.43,1.00,1,,,,,,,,,,
6.44,1.00,1,,,,,,,,,,
6.45,1.00,1,,,,,,,,,,
6.46,1.00,1,,,,,,,,,,
6.47,1.00,1,,,,,,,,,,
6.48,1.00,1,,,,,,,,,,
6.49,1.00,1,,,,,,,,,,
6.50,1.00,1,,,,,,,,,,
6.51,1.00,1,,,,,,,,,,
6.52,1.00,1,,,,,,,,,,
6.53,1.00,1,,,,,,,,,,
6.54,1.00,1,,,,,,,,,,
6.55,1.00,1,,,,,,,,,,
6.56,1.00,1,,,,,,,,,,
6.57,1.00,1,,,,,,,,,,
6.58,1.00,1,,,,,,,,,,
6.59,1.00,1,,,,,,,,,,
6.60,1.00,1,,,,,,,,,,
6.61,1.00,1,,,,,,,,,,
6.62,1.00,1,,,,,,,,,,
6.63,1.00,1,,,,,,,,,,
6.64,1.00,1,,,,,,,,,,
6.65,1.00,1,,,,,,,,,,
6.66,1.00,1,,,,,,,,,,
6.67,1.00,1,,,,,,,,,,
6.68,1.00,1,,,,,,,,,,
6.69,1.00,1,,,,,,,,,,
6.70,1.00,1,,,,,,,,,,
6.71,1.00,1,,,,,,,,,,
6.72,1.00,1,,,,,,,,,,
6.73,1.00,1,,,,,,,,,,
6.74,1.00,1,,,,,,,,,,
6.75,1.00,1,,,,,,,,,,
6.76,1.00,1,,,,,,,,,,
6.77,1.00,1,,,,,,,,,,
6.78,1.00,1,,,,,,,,,,
6.79,1.00,1,,,,,,,,,,
6.80,1.00,1,,,,,,,,,,
6.81,1.00,1,,,,,,,,,,
6.82,1.00,1,,,,,,,,,,
6.83,1.00,1,,,,,,,,,,
6.84,1.00,1,,,,,,,,,,
6.85,1.00,1,,,,,,,,,,
6.86,1.00,1,,,,,,,,,,
6.87,1.00,1,,,,,,,,,,
6.88,1.00,1,,,,,,,,,,
6.89,1.00,1,,,,,,,,,,
6.90,1.00,1,,,,,,,,,,
6.91,1.00,1,,,,,,,,,,
6.92,1.00,1,,,,,,,,,,
6.93,1.00,1,,,,,,,,,,
6.94,1.00,1,,,,,,,,,,
6.95,1.00,1,,,,,,,,,,
6.96,1.00,1,,,,,,,,,,
